,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",2758086,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"L-Gante Rkt","Papu DJ",2735464,https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
3,BICHOTA,"KAROL G",2720767,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
4,"Si Me Tomo Una Cerveza",Migrantes,2628891,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
5,Bésame,"El Reja",2076924,https://open.spotify.com/track/5uD4fcXch2qE5LYeyDipA1
6,BEBÉ,Camilo,1982856,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
7,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,1918143,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
8,"LA NOCHE DE ANOCHE","Bad Bunny",1864105,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
9,Hawái,Maluma,1801791,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
10,"Vida de Rico",Camilo,1755097,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
11,"Chica Ideal","Sebastian Yatra",1745958,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
12,"Hecha Pa' Mi",Boza,1699308,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
13,Bandido,"Myke Towers",1593564,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
14,"La Tóxica",Farruko,1564289,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
15,Reloj,"Rauw Alejandro",1518858,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
16,Jeans,"Justin Quiles",1398974,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
17,"La Nota","Manuel Turizo",1372632,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
18,"Relación - Remix",Sech,1307039,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
19,"Una Locura",Ozuna,1287202,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
20,Confiesalo,"Maria Becerra",1274803,https://open.spotify.com/track/1jtkP2Vj67mcBTXJgIOZsW
21,"Parce (feat. Justin Quiles)",Maluma,1165708,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
22,"La Curiosidad","Jay Wheeler",1137048,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
23,"Barrio Prendido","The La Planta",1111570,https://open.spotify.com/track/2I3qA0KslRCxFTfZnPyDhf
24,"Ay, DiOs Mío!","KAROL G",1056968,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
25,"Tattoo - Remix with Camilo","Rauw Alejandro",1033006,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
26,"High (Remix)","Maria Becerra",1030632,https://open.spotify.com/track/2HpbDdD3JLpAPMJFYCeC6o
