,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Watermelon Sugar","Harry Styles",475016,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
56,"Pininfarina - Remix",Rei,470105,https://open.spotify.com/track/1mVLbFwad1wce7mAhFw2Ih
57,Tusa,"KAROL G",465146,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
58,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",464491,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
59,"Cómo estás","Ke Personajes",452877,https://open.spotify.com/track/6bLvfGI2XeU5DTl8feuNrk
60,Playa,TINI,448480,https://open.spotify.com/track/3OYk6SZD86hLCR8tCebf89
61,"No Te Enamores - Remix",Milly,438880,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
62,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",437165,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
63,2:50,MYA,428778,https://open.spotify.com/track/5xlxSHnvXwT66JWYwDkEFE
64,"La Luz",Sech,412182,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
65,"Don't Start Now","Dua Lipa",400086,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
66,"Hasta Abajo","Kevin Roldan",395036,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
67,"Tan Enamorados",CNCO,392465,https://open.spotify.com/track/4z9b9AbzCw32Azqg8uJ0B6
68,"Si Me Dices Que Sí",Reik,370885,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
69,"El Mismo Aire - con Pablo Alborán",Camilo,368544,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
70,"A Mi Lado",DANI,368480,https://open.spotify.com/track/6cvMmviJTZTBOFh2ohwZg6
71,"Me Gusta","Ciro y los Persas",367448,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf
72,"Mood (feat. iann dior)",24kGoldn,363138,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
73,"Por Primera Vez",Camilo,359613,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
74,"Previa y Cachengue 35 - Remix","Fer Palacio",353576,https://open.spotify.com/track/4a0XLZUjHFHPwMBxQJD2JX
75,Pistola,L-Gante,349596,https://open.spotify.com/track/2OEVXCvrzJfpZaIPwsR99i
76,Ñeri,Trueno,347280,https://open.spotify.com/track/6Cgj3VVfcYJN9vZbMVcKRd
77,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,341866,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
78,"Más De La Una","Piso 21",340965,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
79,"No Bailes Sola","Danna Paola",340112,https://open.spotify.com/track/411nmd0QMzty1UjCWSo3rc
80,"Que Locura Fue Enamorarme de Ti (Remix)","La Banda De Lechuga",339391,https://open.spotify.com/track/1Bi4FWSuiItUNREkaoeFY3
81,"Quiéreme Mientras Se Pueda","Manuel Turizo",336272,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
82,"Hola - Remix",Dalex,332035,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
83,"El Cielo a un Diablo","The La Planta",331196,https://open.spotify.com/track/00fuxcwUgNfmoqBeP63MN7
84,"Seguir Viviendo Sin Tu Amor","Luis Alberto Spinetta",329229,https://open.spotify.com/track/2qBirMakpTdz9ymxrZEyzg
85,positions,"Ariana Grande",329165,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
86,Par-Tusa,"El Dipy",318425,https://open.spotify.com/track/7iZSr3NiHlqJGAJmlfd3Ru
87,"Hoy Se Chicha","Jowell & Randy",314218,https://open.spotify.com/track/4SE7wJ6HNrxGf7RpAVyTwm
88,Travesuras,"Flow La Movie",314112,https://open.spotify.com/track/2etJ67Egf7woMgOikVrlJM
89,Dynamite,BTS,313228,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
90,Mirenla,"Ciro y los Persas",310278,https://open.spotify.com/track/027NtsXW0vpDFhzxsJKmTL
91,"Malianteo 420",L-Gante,305657,https://open.spotify.com/track/6NKrW1a2OYNwAXuN4MgwXi
92,"Nunca quise",Intoxicados,303754,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy
93,"El Efecto - Remix","Rauw Alejandro",300836,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
94,"Ropa Cara",Camilo,295313,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC
95,"Dance Monkey","Tones And I",292603,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
96,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",292502,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
97,"Si Me Tomo Una Cerveza - Remix","DJ Alan Gomez",292496,https://open.spotify.com/track/0C7OwfDvT7liF1V3LVAzS1
98,"El Mismo Aire","La K'onga",290342,https://open.spotify.com/track/7onMf0QvWgRba2MRxG27yj
99,Tutu,Camilo,288178,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
100,"Caramelo - Remix",Ozuna,286038,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
101,"Además de Mí",Rusherking,285925,https://open.spotify.com/track/0lmXM7CjNXSjCW4my94WQ3
102,"Ojitos Chiquititos","The La Planta",285598,https://open.spotify.com/track/2bGEoSwvtIi5el0jyeLbmn
103,"Tak Tiki Tak","Harry Nach",283766,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
104,"Me Vas a Ver","El Reja",280774,https://open.spotify.com/track/77ELHW62FXS5ZGWNbcvgY0
105,Snowman,Sia,278931,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
106,Tussi,Arcangel,277674,https://open.spotify.com/track/3pnpENd2PXAKuetjLIylEr
107,"Amor (Ft. Mon Laferte) - MTV Unplugged","Los Auténticos Decadentes",277270,https://open.spotify.com/track/1QjfU3jkGInap7Vm9lVJIQ
108,"Spaghetti del Rock",Divididos,275530,https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr
109,Flaca,"Andrés Calamaro",275332,https://open.spotify.com/track/1p7m9H4H8s0Y7SgRm7j3ED
110,"Hasta Que Dios Diga","Anuel AA",274126,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
111,"Tal Vez (Remix)","El Reja",273596,https://open.spotify.com/track/2tpYhYyKRsVOxiAnSSQyN0
112,"GIRL LIKE ME","Black Eyed Peas",273534,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
113,"Prisoner (feat. Dua Lipa)","Miley Cyrus",272534,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
114,"Flasheaste Amor",Agapornis,272133,https://open.spotify.com/track/2ACgvo2Kx4LgWqQ2amvM5C
115,Relación,Sech,269651,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
116,"Ella Dice",TINI,268748,https://open.spotify.com/track/4tUEgOSgpQ1E70gpvPcUPm
117,"Mala Costumbre","Manuel Turizo",266651,https://open.spotify.com/track/70uX4beGHc1nQikXveOknp
118,"Levitating (feat. DaBaby)","Dua Lipa",265793,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
119,"Djadja (feat. Maluma) - Remix","Aya Nakamura",264491,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
120,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",261227,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
121,34+35,"Ariana Grande",261110,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
122,Olvídala,"Los Palmeras",260866,https://open.spotify.com/track/0cXGtTRfQKSHojilCoBAOd
123,"Por Mil Noches",Airbag,258607,https://open.spotify.com/track/10zSgbysU2KyVTrcRmtu62
124,Nada,"Cali Y El Dandee",258139,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
125,"Bésame - Remix","El Reja",257367,https://open.spotify.com/track/0pqec6C3SFkOAyDIoYYNPG
126,"Un Beso en Madrid",TINI,255819,https://open.spotify.com/track/5L3kJqFfHgE0JzLqBoyQlB
127,PORFA,Feid,253810,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
128,Colocao,"Nicki Nicole",253726,https://open.spotify.com/track/7MCFjPDImfjQv7GynHgVrR
129,"Juntos a la Par",Pappo,252592,https://open.spotify.com/track/1Ig4pCPanhzXl7C86MmBUc
130,"Vete Pal Carajo","Yan Block",250770,https://open.spotify.com/track/1mrQYY0NATPCe7WOYcCKf1
131,Crimen,"Gustavo Cerati",249244,https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp
132,"Un Poco de Amor Francés","Patricio Rey y sus Redonditos de Ricota",248152,https://open.spotify.com/track/1MRhIdcloOD0uiiG3ybXGX
133,"De Una Vez","Selena Gomez",246794,https://open.spotify.com/track/0HC6S4VpCGAZvyxTdrMRIQ
134,Rojo,"J Balvin",246736,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
135,Creo,Callejeros,242734,https://open.spotify.com/track/5Bi9Cq5oVFy1OtUgecbegZ
136,"Trátame Suavemente - Remasterizado 2007","Soda Stereo",242434,https://open.spotify.com/track/65DBZofI0b79kfHTcWWDuU
137,"BOOKER T","Bad Bunny",241518,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
138,"Me Vas a Extrañar - En Vivo","Damas Gratis",241121,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW
139,"Reloj - Remix","DJ Alan Gomez",239986,https://open.spotify.com/track/0gFrjV5KI2KU0qR6nBn4PR
140,"Pasos Al Costado",Turf,237374,https://open.spotify.com/track/7upAH0ezzsThyvr33YKn4u
141,"Relación Rota","DJ Alan Gomez",237262,https://open.spotify.com/track/5DJU9Q0jXkv1AeEEMs9rtZ
142,+Linda,Dalex,236053,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
143,Oncemil,"Abel Pintos",234474,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ
144,Golden,"Harry Styles",232783,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
145,"Previa y Cachengue 36 - Remix","Fer Palacio",231813,https://open.spotify.com/track/6Ow1077i96Aiun3cEH8Wqp
146,"Lo Que Tienes",Oriana,231474,https://open.spotify.com/track/5dpLdsSEVRkTUwpOaULkeT
147,"A Las Nueve","No Te Va Gustar",230795,https://open.spotify.com/track/68cko9zdsKwaxgb98sF36S
148,"Ocho Cuarenta",Rodrigo,229188,https://open.spotify.com/track/6jDx3MNG0yJdrvEBZohKBE
149,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",229022,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
150,"Adore You","Harry Styles",226060,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
151,"Arde la Ciudad","Mancha De Rolando",226042,https://open.spotify.com/track/3SyKG06yOK3omo29EwZ8dP
152,Inocente,"La Delio Valdez",225831,https://open.spotify.com/track/7g6taDbEMUIhsvyFaexjDi
153,Inolvidable,"Ovy On The Drums",225511,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
154,Bonita,Jeeiph,225237,https://open.spotify.com/track/7EUvcSFkyVB73zrblhQmEL
155,"Campanas en la Noche","Los Tipitos",225146,https://open.spotify.com/track/0C9V5jMElp7laZZdsCHufD
156,"Don Don","Daddy Yankee",224977,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
157,"Previa y Cachengue 33 - Remix","Fer Palacio",224815,https://open.spotify.com/track/3kvT5YE6eyuUyRYmpyH6lS
158,"Ponte Pa' Mix","Fer Palacio",224651,https://open.spotify.com/track/27RbEsHY7OdniHk3sepP5k
159,"Break My Heart","Dua Lipa",224076,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
160,"La Noche Sin Tí","Los Huayra",223910,https://open.spotify.com/track/6dT5W7zuEcUZHnZuVlSIJ5
161,Fresa,TINI,222521,https://open.spotify.com/track/0LzzrTU0t5sktycXOhViX4
162,"Ella Dijo",Estelares,222516,https://open.spotify.com/track/6cFf4Jfy7ThUwGzbqFcZsx
163,Madrugada,"La Beriso",221750,https://open.spotify.com/track/4SGCn3ZVXa7bepHuAdQvC9
164,"KHEA: Bzrp Music Sessions, Vol. 34",Bizarrap,221044,https://open.spotify.com/track/7bidsoy3nzCDNYzAzrV7NN
165,"Sigues Con El","Dímelo Flow",220191,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
166,"AYNEA REMIX",FMK,220097,https://open.spotify.com/track/5dDxdj2MrqrYCGzqXfJycL
167,"Un Ángel para Tu Soledad","Patricio Rey y sus Redonditos de Ricota",219697,https://open.spotify.com/track/7fbuABzGfagLWkI54bxL6c
168,"Mil Horas","Los Abuelos De La Nada",218042,https://open.spotify.com/track/6ySWtyMprBb1YX8WAAuFBs
169,"Una Cerveza",Rafaga,217728,https://open.spotify.com/track/3LNZSTiwQYL7BnTfHvIOII
170,Locura,"Cali Y El Dandee",216785,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
171,"Lonely (with benny blanco)","Justin Bieber",216634,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
172,Bendición,Emilia,216254,https://open.spotify.com/track/54LxLkCDvShuYKRtTUQ2G4
